site.code,top.utm.E,top.utm.N
APC1,481489,4128375
BNA1,481846,4128279
CNO1,480225,4122450
CNO2,483276,4119768
CNO3,481207,4121671
DC1,479935,4129428
DC2,479613,4128885
DC3,479426,4125539
DC4,479469,4127102
DHC1,465836,4156697
EFU1,466596,4160066
ELP1,480026,4122409
ELP2,484413,4124311
ELP3,482170,4124615
HWK1,482051,4131094
HWK2,483911,4131129
LCC1,481230,4131230
LCC2,482393,4132134
LUC1,463084,4156215
LUC2,464631,4153652
LUC3,459969,4157682
LUC4,461866,4156889
MFU1,463412,4162632
NFNFT1,482077,4137655
NFT1,479429,4137574
NFT2,476274,4136942
PLC1,474706,4158059
PLC2,472852,4164761
PLC3,473537,4161530
PLC4,474740,4161547
PLC5,470178,4162477
PLC6,471405,4159843
PLC7,472508,4159036
PLC8,474518,4159367
SDC1,470377,4149071
SDC2,474525,4157126
SDC4,480186,4162066
SDC5,473125,4152078
SDC6,462887,4142069
SDC7,469689,4146266
SFNFT1,481671,4136819
SFT1,480712,4129193
SFT2,482153,4128435
SFT3,479889,4130187
SFT4,483956,4129011
SFT5,477802,4131972
SFT6,475806,4134644
SFT7,479716,4130773
SFT8,480008,4129538
SQ1,477461,4135804
SQ2,478479,4134987
TC1,470133,4138011
TC2,472779,4136913
TC3,467726,4138764
TC4,474901,4136084
TC5,473491,4136744
UTE1,463148,4145598
UTE10,464142,4148486
UTE2,465669,4159981
UTE3,464324,4148034
UTE4,461243,4142994
UTE5,466071,4157354
UTE6,466079,4155904
UTE7,465611,4154395
UTE8,465414,415289
UTE9,464941,4150033
WFU1,463147,4160791
WIC1,475248,4144600
WL1,458327,4157863